Ensembl gene ID,Splice event chr,Splice event start position,Splice event end position,Tissue,Subtype
ENSG00000050405,12,50222485,50231665,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000050405,12,50222485,50231665,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000130702,20,62353251,62362400,Adipose_Subcutaneous,Male
ENSG00000130702,20,62336786,62337590,Adipose_Subcutaneous,Overall
ENSG00000163466,2,218238850,218239391,Adipose_Visceral_Omentum,Colon
ENSG00000077514,11,74594116,74604692,Adipose_Subcutaneous,Overall
ENSG00000130702,20,62336786,62337590,Adipose_Subcutaneous,Rectal
ENSG00000077514,11,74594116,74604692,Adipose_Subcutaneous,Male
ENSG00000136280,7,45072783,45073460,Adipose_Visceral_Omentum,Female
ENSG00000130725,19,58556379,58556687,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000130725,19,58556490,58556687,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000014919,10,99713479,99716348,Colon_Transverse,Overall
ENSG00000014919,10,99714718,99716348,Adipose_Subcutaneous,Overall
ENSG00000135862,1,183124876,183125397,Adipose_Subcutaneous,Rectal
ENSG00000125378,14,53950888,53951853,Colon_Transverse,Overall
ENSG00000176845,17,83092274,83093167,Adipose_Subcutaneous,Rectal
ENSG00000130702,20,62346596,62346682,Adipose_Subcutaneous,Distal
ENSG00000139624,12,50135863,50135941,Colon_Transverse,Overall
ENSG00000093167,3,37096660,37102924,Adipose_Subcutaneous,Proximal
ENSG00000123268,12,50809589,50814010,Cells_EBV-transformed_lymphocytes,Male
ENSG00000130702,20,62330944,62331032,Colon_Sigmoid,Overall
ENSG00000130725,19,58556379,58556687,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000123268,12,50809589,50814010,Cells_EBV-transformed_lymphocytes,Female
ENSG00000008323,12,6317696,6317857,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000130706,20,62303781,62304461,Colon_Sigmoid,Overall
ENSG00000176845,17,83089785,83093167,Adipose_Visceral_Omentum,Overall
ENSG00000147679,8,116779586,116786503,Colon_Transverse,Overall
ENSG00000204520,6,31411359,31411947,Whole_Blood,Overall
ENSG00000204516,6,31411359,31411947,Whole_Blood,Overall
ENSG00000130725,19,58556490,58556687,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000130702,20,62346596,62346682,Colon_Sigmoid,Overall
ENSG00000196167,11,111298666,111299594,Colon_Transverse,Overall
ENSG00000136270,7,45104709,45105441,Colon_Transverse,Overall
ENSG00000149485,11,61802462,61802801,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000272368,12,50112301,50120036,Adipose_Visceral_Omentum,Overall
ENSG00000178449,12,50112301,50120036,Adipose_Visceral_Omentum,Overall
ENSG00000076242,3,37020463,37025637,Adipose_Subcutaneous,Proximal
ENSG00000149485,11,61802462,61802801,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000168496,11,61793028,61795341,Colon_Transverse,Overall
ENSG00000134824,11,61793028,61795341,Colon_Transverse,Overall
ENSG00000014919,10,99696541,99716348,Cells_EBV-transformed_lymphocytes,Male
ENSG00000130702,20,62346596,62346682,Adipose_Subcutaneous,Rectal
ENSG00000149485,11,61802462,61802801,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000130706,20,62303781,62306197,Colon_Sigmoid,Overall
ENSG00000130702,20,62346596,62346682,Adipose_Subcutaneous,Colon
ENSG00000130702,20,62346596,62346682,Adipose_Subcutaneous,Female
ENSG00000147679,8,116766791,116770192,Colon_Transverse,Overall
ENSG00000130702,20,62346596,62346682,Adipose_Subcutaneous,Male
ENSG00000006555,1,54781779,54782325,Colon_Transverse,Overall
ENSG00000130702,20,62338608,62345818,Adipose_Visceral_Omentum,Overall
ENSG00000130702,20,62338608,62345818,Adipose_Visceral_Omentum,Rectal
ENSG00000130702,20,62337727,62337804,Colon_Sigmoid,Overall
ENSG00000160862,7,99968430,99971746,Adipose_Subcutaneous,Proximal
ENSG00000176402,7,99968430,99971746,Adipose_Subcutaneous,Proximal
ENSG00000176845,17,83089785,83093167,Adipose_Visceral_Omentum,Male
ENSG00000147679,8,116779586,116786503,Adipose_Subcutaneous,Male
ENSG00000107554,10,99881200,99884011,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000130702,20,62327406,62327529,Adipose_Subcutaneous,Overall
ENSG00000130702,20,62327406,62327529,Adipose_Subcutaneous,Rectal
ENSG00000125378,14,53950888,53951853,Adipose_Subcutaneous,Colon
ENSG00000213753,19,58586356,58598967,Colon_Transverse,Overall
ENSG00000267858,19,58586356,58598967,Colon_Transverse,Overall
ENSG00000149485,11,61811075,61812471,Adipose_Subcutaneous,Overall
ENSG00000149485,11,61811075,61812471,Adipose_Subcutaneous,Distal
ENSG00000076242,3,37040294,37047519,Adipose_Subcutaneous,Proximal
ENSG00000168237,3,52287876,52290960,Adipose_Visceral_Omentum,Colon
ENSG00000149485,11,61811075,61812471,Adipose_Subcutaneous,Colon
ENSG00000006555,1,54782477,54785983,Colon_Sigmoid,Overall
ENSG00000123268,12,50764307,50780140,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000124920,11,61784385,61785800,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000124920,11,61784385,61785800,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000136270,7,45109243,45111643,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000123268,12,50764307,50780140,Cells_EBV-transformed_lymphocytes,Proximal
ENSG00000124920,11,61784385,61785800,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000130702,20,62336986,62337590,Colon_Sigmoid,Overall
ENSG00000124920,11,61781824,61783513,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000130703,20,62280122,62281058,Colon_Transverse,Overall
ENSG00000130702,20,62310311,62310665,Adipose_Visceral_Omentum,Rectal
ENSG00000124920,11,61781824,61783513,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000123268,12,50764307,50780140,Cells_EBV-transformed_lymphocytes,Female
ENSG00000198018,10,99659588,99659862,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000204482,6,31587966,31588518,Adipose_Visceral_Omentum,Colon
ENSG00000123268,12,50764307,50780140,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000130702,20,62330944,62331032,Adipose_Subcutaneous,Rectal
ENSG00000118971,12,4288990,4299860,Adipose_Subcutaneous,Proximal
ENSG00000118971,12,4288990,4299860,Adipose_Subcutaneous,Colon
ENSG00000118971,12,4288990,4299860,Adipose_Subcutaneous,Overall
ENSG00000130702,20,62337727,62337804,Adipose_Visceral_Omentum,Rectal
ENSG00000008323,12,6312364,6313629,Adipose_Visceral_Omentum,Overall
ENSG00000139624,12,50135838,50135941,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000077514,11,74592718,74594061,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000077514,11,74592718,74594061,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000139624,12,50144057,50167101,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000115183,2,159194493,159196608,Adipose_Visceral_Omentum,Colon
ENSG00000229391,6,32517752,32518054,Adipose_Subcutaneous,Distal
ENSG00000196126,6,32517752,32518054,Adipose_Subcutaneous,Distal
ENSG00000198502,6,32517752,32518054,Adipose_Subcutaneous,Distal
ENSG00000198018,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000119929,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Colon
ENSG00000054938,11,74718832,74730807,Colon_Transverse,Overall
ENSG00000139624,12,50130694,50130863,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000198018,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000119929,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000130702,20,62319013,62319684,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000136280,7,45027797,45038253,Cells_EBV-transformed_lymphocytes,Female
ENSG00000198018,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000119929,10,99732409,99736246,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000054938,11,74701646,74702794,Colon_Sigmoid,Overall
ENSG00000130702,20,62336786,62338016,Colon_Transverse,Overall
ENSG00000050405,12,50200884,50201303,Adipose_Subcutaneous,Overall
ENSG00000054938,11,74697297,74701592,Colon_Sigmoid,Overall
ENSG00000093167,3,37121691,37129063,Adipose_Subcutaneous,Proximal
ENSG00000123268,12,50764307,50780140,Adipose_Visceral_Omentum,Rectal
ENSG00000130703,20,62279339,62280009,Colon_Sigmoid,Overall
ENSG00000076242,3,37007063,37008814,Adipose_Visceral_Omentum,Proximal
ENSG00000123268,12,50764307,50780140,Adipose_Visceral_Omentum,Male
ENSG00000123268,12,50764307,50780140,Adipose_Visceral_Omentum,Colon
ENSG00000204536,6,31143413,31144687,Colon_Transverse,Overall
ENSG00000130702,20,62320669,62320739,Colon_Transverse,Overall
ENSG00000014919,10,99713479,99716348,Adipose_Visceral_Omentum,Male
ENSG00000214290,11,111300017,111300527,Colon_Transverse,Overall
ENSG00000101665,18,48942555,48948384,Colon_Sigmoid,Overall
ENSG00000130703,20,62279339,62281058,Colon_Sigmoid,Overall
ENSG00000272368,12,50112301,50165026,Whole_Blood,Overall
ENSG00000178449,12,50112301,50165026,Whole_Blood,Overall
ENSG00000014919,10,99714718,99716348,Adipose_Subcutaneous,Male
ENSG00000090661,19,8257077,8257879,Adipose_Subcutaneous,Female
ENSG00000121289,19,32918339,32926190,Adipose_Subcutaneous,Overall
ENSG00000122679,7,45157886,45177309,Adipose_Visceral_Omentum,Overall
ENSG00000130844,19,53538296,53539216,Adipose_Visceral_Omentum,Male
ENSG00000076650,19,33114419,33117825,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000172340,3,67375859,67400731,Adipose_Visceral_Omentum,Proximal
ENSG00000110777,11,111356433,111357445,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000198563,6,31540534,31541950,Cells_EBV-transformed_lymphocytes,Male
ENSG00000139624,12,50134702,50135732,Colon_Sigmoid,Overall
ENSG00000204520,6,31400763,31410543,Cells_EBV-transformed_lymphocytes,Proximal
ENSG00000076650,19,33114419,33117825,Adipose_Visceral_Omentum,Male
ENSG00000198563,6,31540534,31541950,Cells_EBV-transformed_lymphocytes,Distal
ENSG00000198563,6,31540534,31541950,Colon_Sigmoid,Overall
ENSG00000198563,6,31540534,31541950,Adipose_Subcutaneous,Colon
ENSG00000204520,6,31400763,31410543,Cells_EBV-transformed_lymphocytes,Overall
ENSG00000196126,6,32584378,32589643,Colon_Sigmoid,Overall
ENSG00000229391,6,32584378,32589643,Colon_Sigmoid,Overall
ENSG00000198502,6,32584378,32589643,Colon_Sigmoid,Overall
ENSG00000229391,6,32581838,32584109,Adipose_Subcutaneous,Colon
ENSG00000198502,6,32581838,32584109,Adipose_Subcutaneous,Colon
ENSG00000196126,6,32581838,32584109,Adipose_Subcutaneous,Colon
ENSG00000093167,3,37173194,37174539,Adipose_Visceral_Omentum,Proximal
ENSG00000130702,20,62336986,62337590,Adipose_Visceral_Omentum,Rectal
ENSG00000130702,20,62336786,62336904,Adipose_Visceral_Omentum,Rectal
ENSG00000229391,6,32581838,32584109,Adipose_Subcutaneous,Overall
ENSG00000198502,6,32581838,32584109,Adipose_Subcutaneous,Overall
ENSG00000196126,6,32581838,32584109,Adipose_Subcutaneous,Overall
ENSG00000229391,6,32581838,32584109,Adipose_Subcutaneous,Distal
ENSG00000198502,6,32581838,32584109,Adipose_Subcutaneous,Distal
ENSG00000196126,6,32581838,32584109,Adipose_Subcutaneous,Distal
ENSG00000139624,12,50130694,50134546,Adipose_Subcutaneous,Overall
ENSG00000139624,12,50134068,50134546,Adipose_Subcutaneous,Overall
ENSG00000130702,20,62336786,62336904,Adipose_Visceral_Omentum,Overall
ENSG00000130702,20,62322449,62322658,Colon_Transverse,Overall
